time,pm25,tem,hum,pre,ap,ws,wd,pbl,sr
2025-09-01T00:00,80.1,26.1,80,0.0,1010.5,2.2,222,75.0,102.2
2025-09-01T01:00,78.7,28.1,70,0.0,1011.3,2.6,141,215.0,306.1
2025-09-01T02:00,39.6,29.7,61,0.0,1011.8,2.0,117,500.0,505.6
2025-09-01T03:00,34.7,31.0,55,0.0,1011.2,3.2,74,830.0,673.1
2025-09-01T04:00,34.9,31.9,53,0.0,1011.0,6.7,31,1220.0,794.6
2025-09-01T05:00,31.4,31.8,53,0.2,1010.1,10.7,30,820.0,834.4
2025-09-01T06:00,29.7,29.8,69,0.3,1009.7,11.9,29,605.0,651.8
2025-09-01T07:00,26.3,29.7,70,0.8,1009.1,13.2,17,665.0,499.5
2025-09-01T08:00,27.1,27.4,82,7.2,1008.9,9.5,25,445.0,426.4
2025-09-01T09:00,30.4,27.9,79,0.0,1008.3,8.6,16,545.0,275.2
2025-09-01T10:00,36.6,27.1,85,0.0,1008.8,2.4,17,265.0,117.6
2025-09-01T11:00,53.7,26.6,86,0.0,1009.1,3.6,131,200.0,0.0
2025-09-01T12:00,49.8,26.8,88,0.0,1009.7,1.1,171,220.0,0.0
2025-09-01T13:00,59.1,25.2,93,0.1,1010.8,9.5,189,260.0,0.0
2025-09-01T14:00,71.2,25.1,90,0.0,1010.8,7.0,184,220.0,0.0
2025-09-01T15:00,85.2,25.2,87,0.0,1011.5,4.6,162,170.0,0.0
2025-09-01T16:00,102.2,25.3,87,0.0,1011.7,3.7,194,150.0,0.0
2025-09-01T17:00,115.3,25.2,86,0.0,1011.5,6.4,164,200.0,0.0
2025-09-01T18:00,120.1,24.8,87,0.0,1011.2,5.4,188,175.0,0.0
2025-09-01T19:00,125.7,24.4,88,2.3,1010.6,2.7,247,85.0,0.0
2025-09-01T20:00,128.1,24.3,88,1.1,1010.4,6.6,229,170.0,0.0
2025-09-01T21:00,127.1,23.9,93,1.9,1010.5,0.9,270,45.0,0.0
2025-09-01T22:00,125.7,23.9,92,0.1,1011.0,5.3,38,160.0,0.0
2025-09-01T23:00,117.6,23.8,92,0.2,1011.6,4.2,121,135.0,0.0
